ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{AE8170B6-E6C7-E811-914C-74867AD5B714};4.5;22;3;;6.1;30;3;;5.7;31;3;;531.076.097.059.055;253.168.333.331.744;1;;4
{66E1D3FA-EAC7-E811-914C-74867AD5B714};7.3;23;3;;7.2;25;3;;7;26;3;;707.709.063.672.131;245.275.666.673.978;2;;1
{8850F46E-EFC7-E811-914C-74867AD5B714};5.8;16;2;;5.4;18;2;;6;20;3;;58.934.678.265.633;178.085.666.656.494;2;;4
{C30AB9AA-F3C7-E811-914C-74867AD5B714};7.7;20;2;;7.2;20;3;;8.2;21;3;;637.883.285.981.764;181.256.666.660.309;2;;4
{8048E4FB-D9C8-E811-914C-74867AD5B714};10.9;33;3;;11.5;32;3;;11;36;3;;956.291.023.682.288;348.162.333.329.519;6;;3
{BACC0408-E3C8-E811-914C-74867AD5B714};3.9;11;3;;4.6;14;3;;3.6;17;3;;279.680.927.663.283;789.854.999.780.655;2;;1
{6272E1C4-E3C8-E811-914C-74867AD5B714};3.9;13;3;;4.3;15;3;;4.4;17;3;;411.416.604.935.264;172.242.166.678.111;1;;1
{2EEE233C-E5C8-E811-914C-74867AD5B714};7.4;21;3;;7.1;24;3;;8.1;25;3;;756.381.662.217.391;217.688.333.352.407;2;;1
{B615F876-E6C8-E811-914C-74867AD5B714};4;15;3;;4.5;14;3;;4.9;18;3;;433.655.049.307.338;195.930.499.990.781;1;;2
{9785B1AF-E8C8-E811-914C-74867AD5B714};5;21;3;;5.2;23;3;;6.1;26;3;;600.974.863.439.719;387.713.333.328.565;5;;4
{56FF6CE7-E9C8-E811-914C-74867AD5B714};2.3;7;1;;0;0;0;;0;0;0;;226.533.439.650.018;8.337.433.330.218;1;;4
{AB4A427D-EBC8-E811-914C-74867AD5B714};5.9;17;2;;5.3;18;3;;6.2;19;2;;508.489.743.239.253;212.827.333.331.108;1;;2
{28BA7C53-91C9-E811-914C-74867AD5B714};2.3;6;3;;0;0;0;;0;0;0;;167.889.412.663.829;517.211.666.901.906;2;;1
{1C22F1B4-92C9-E811-914C-74867AD5B714};3;8;2;;2.9;10;3;;3.2;14;3;;253.262.021.203.206;653.450.000.286.102;1;;1
{8549CD86-9DC9-E811-914C-74867AD5B714};8.4;25;3;;9.4;32;3;;8.1;33;3;;746.425.890.192.473;319.118.333.339.691;6;;2
{AC5E9C70-A2C9-E811-914C-74867AD5B714};6.3;17;2;;6.8;17;2;;6;19;3;;62.045.876.599.974;182.823.333.303.134;3;;4
{B40D70B4-37CB-E811-914C-74867AD5B714};5.2;10;1;;5.9;13;2;;5.3;12;2;;37.254.545.334.453;112.705.500.006.676;1;;4
{5330136F-3CCB-E811-914C-74867AD5B714};8.7;26;3;;12;27;2;;12.7;31;3;;708.040.364.818.672;220.212.166.666.985;3;;1
{5639E9B2-3ECB-E811-914C-74867AD5B714};7;20;2;;6.2;20;3;;0;0;0;;614.257.868.389.767;283.620.500.008.265;2;;2
{8116154C-40CB-E811-914C-74867AD5B714};4.2;14;3;;4;15;3;;4.8;21;3;;370.190.928.827.676;129.816.666.682.561;2;;2
{7F5B9070-42CB-E811-914C-74867AD5B714};7.5;25;3;;8.2;30;3;;7.8;40;3;;686.253.726.818.582;222.493.833.343.188;2;;4
{ED554B03-43CB-E811-914C-74867AD5B714};6.7;24;3;;5.8;25;3;;6.1;27;3;;514.262.984.380.534;309.077.166.676.521;6;;2
{7075AD0F-47CB-E811-914C-74867AD5B714};7.4;28;3;;7.2;30;3;;9.2;30;3;;824.730.037.842.145;533.516.166.647.275;5;;4
{60D70C69-4FCB-E811-914C-74867AD5B714};5.6;18;3;;4.7;19;3;;4.9;20;3;;460.026.668.614.235;182.788.333.336.512;2;;2
{915169DF-52CB-E811-914C-74867AD5B714};6.7;14;3;;5;19;3;;0;0;0;;500.140.286.421.423;224.842.666.665.713;2;;4
{4642D928-57CB-E811-914C-74867AD5B714};4.6;19;3;;4.8;20;3;;6.1;23;3;;539.426.834.664.467;20.548.766.664.664;1;;4
{811FD924-FACB-E811-914C-74867AD5B714};5.7;17;3;;5.7;20;3;;6.1;22;3;;407.697.656.860.609;16.886.333.334.446;1;;2
{A3037126-FDCB-E811-914C-74867AD5B714};6.6;20;3;;8;22;2;;8.4;24;3;;688.453.578.225.444;203.467.333.316.803;2;;4
{FDC5065E-01CC-E811-914C-74867AD5B714};6.7;17;2;;7.4;20;3;;6.3;25;3;;656.970.166.539.345;225.383.333.325.386;1;;4
{29758F97-06CC-E811-914C-74867AD5B714};4.5;20;3;;4.6;22;3;;4.7;24;3;;448.312.964.728.217;228.236.666.679.382;2;;4
{38A2EF84-09CC-E811-914C-74867AD5B714};6.2;22;3;;6.2;24;3;;6.6;24;3;;639.070.453.803.249;33.382.450.000.445;6;;2
